scene_order,scene_id,scene_title,mp3_name,speaker,emotion,line_text,tts_prompt
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_001_alex_insecure.mp3,Alex,insecure,"Jamie is standing right here, and somehow a stranger's anniversary reel is still louder in my head than the actual person I care about.","Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: insecure. Delivery: quiet vulnerability, small hesitations, emotionally exposed without melodrama. Clean studio recording, no background music, no sound effects. Speak exactly: ""Jamie is standing right here, and somehow a stranger's anniversary reel is still louder in my head than the actual person I care about."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_002_alex_insecure.mp3,Alex,insecure,Half the time the feed makes me feel like I'm failing at being a good partner.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: insecure. Delivery: quiet vulnerability, small hesitations, emotionally exposed without melodrama. Clean studio recording, no background music, no sound effects. Speak exactly: ""Half the time the feed makes me feel like I'm failing at being a good partner."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_003_jamie_concerned.mp3,Jamie,concerned,You look far away. Did today drain you that much?,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: concerned. Delivery: gentle concern, attentive and caring. Clean studio recording, no background music, no sound effects. Speak exactly: ""You look far away. Did today drain you that much?"""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_004_alex_steady.mp3,Alex,steady,Not exactly. I've just been scrolling too much.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: steady. Delivery: natural, grounded, emotionally even and conversational. Clean studio recording, no background music, no sound effects. Speak exactly: ""Not exactly. I've just been scrolling too much."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_005_jamie_warm.mp3,Jamie,warm,Then maybe we do something low-stakes. Want to grab snacks after class and walk the long way home?,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: warm. Delivery: gentle warmth, easy affection, soft smile in the voice. Clean studio recording, no background music, no sound effects. Speak exactly: ""Then maybe we do something low-stakes. Want to grab snacks after class and walk the long way home?"""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_006_alex_insecure.mp3,Alex,insecure,The invite is sweet. My brain just keeps comparing it to candlelit surprises that were probably sponsored.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: insecure. Delivery: quiet vulnerability, small hesitations, emotionally exposed without melodrama. Clean studio recording, no background music, no sound effects. Speak exactly: ""The invite is sweet. My brain just keeps comparing it to candlelit surprises that were probably sponsored."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_007_alex_sharp.mp3,Alex,sharp,That's kind of the problem. Everything between us is starting to feel... ordinary.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: sharp. Delivery: controlled irritation with a cutting edge, not shouted. Clean studio recording, no background music, no sound effects. Speak exactly: ""That's kind of the problem. Everything between us is starting to feel... ordinary."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_008_jamie_firm.mp3,Jamie,firm,"Ordinary, or just not cinematic enough for your timeline?","Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: firm. Delivery: clear boundaries, calm and steady, no yelling. Clean studio recording, no background music, no sound effects. Speak exactly: ""Ordinary, or just not cinematic enough for your timeline?"""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_009_alex_sharp.mp3,Alex,sharp,I don't know anymore. Maybe both.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: sharp. Delivery: controlled irritation with a cutting edge, not shouted. Clean studio recording, no background music, no sound effects. Speak exactly: ""I don't know anymore. Maybe both."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_010_jamie_hurt.mp3,Jamie,hurt,That hurts more than I think you meant it to.,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: hurt. Delivery: emotionally stung, soft but unmistakably hurt. Clean studio recording, no background music, no sound effects. Speak exactly: ""That hurts more than I think you meant it to."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_011_alex_sharp.mp3,Alex,sharp,I just want to feel chosen in a way people can actually see.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: sharp. Delivery: controlled irritation with a cutting edge, not shouted. Clean studio recording, no background music, no sound effects. Speak exactly: ""I just want to feel chosen in a way people can actually see."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_012_jamie_firm.mp3,Jamie,firm,So my actual effort matters less than whether it photographs well?,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: firm. Delivery: clear boundaries, calm and steady, no yelling. Clean studio recording, no background music, no sound effects. Speak exactly: ""So my actual effort matters less than whether it photographs well?"""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_013_alex_sharp.mp3,Alex,sharp,"That's not exactly what I mean, but maybe it's what this has turned into.","Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: sharp. Delivery: controlled irritation with a cutting edge, not shouted. Clean studio recording, no background music, no sound effects. Speak exactly: ""That's not exactly what I mean, but maybe it's what this has turned into."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_014_jamie_hurt.mp3,Jamie,hurt,Then I don't know how to keep loving you without feeling graded.,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: hurt. Delivery: emotionally stung, soft but unmistakably hurt. Clean studio recording, no background music, no sound effects. Speak exactly: ""Then I don't know how to keep loving you without feeling graded."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_015_narration_reflective.mp3,Narration,reflective,"Alex keeps reaching for a public proof of love, and Jamie starts to feel evaluated instead of known.","Narration voice: gentle omniscient storyteller, warm and cinematic, clear diction, intimate visual-novel pacing. Emotion: reflective. Delivery: measured, intimate, observant, narration-like calm. Clean studio recording, no background music, no sound effects. Speak exactly: ""Alex keeps reaching for a public proof of love, and Jamie starts to feel evaluated instead of known."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_016_narration_reflective.mp3,Narration,reflective,Comparison becomes corrosive when a partner has to compete with a performance standard instead of being met as a real person.,"Narration voice: gentle omniscient storyteller, warm and cinematic, clear diction, intimate visual-novel pacing. Emotion: reflective. Delivery: measured, intimate, observant, narration-like calm. Clean studio recording, no background music, no sound effects. Speak exactly: ""Comparison becomes corrosive when a partner has to compete with a performance standard instead of being met as a real person."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_017_alex_honest.mp3,Alex,honest,No. That's the embarrassing part. You've been here and trying. I've just been letting strangers define what counts as romantic.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: honest. Delivery: sincere, vulnerable, steady eye contact energy. Clean studio recording, no background music, no sound effects. Speak exactly: ""No. That's the embarrassing part. You've been here and trying. I've just been letting strangers define what counts as romantic."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_018_jamie_open-hearted.mp3,Jamie,open-hearted,"Then let me compete with your real needs, not with everybody else's highlight reel.","Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: open-hearted. Delivery: warmly open, relieved, gently hopeful. Clean studio recording, no background music, no sound effects. Speak exactly: ""Then let me compete with your real needs, not with everybody else's highlight reel."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_019_alex_open-hearted.mp3,Alex,open-hearted,I can do that. I think I just needed to hear myself say it out loud.,"Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: open-hearted. Delivery: warmly open, relieved, gently hopeful. Clean studio recording, no background music, no sound effects. Speak exactly: ""I can do that. I think I just needed to hear myself say it out loud."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_020_jamie_open-hearted.mp3,Jamie,open-hearted,Good. Because I can plan something thoughtful with you. I just don't want us turning love into content strategy.,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: open-hearted. Delivery: warmly open, relieved, gently hopeful. Clean studio recording, no background music, no sound effects. Speak exactly: ""Good. Because I can plan something thoughtful with you. I just don't want us turning love into content strategy."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_021_narration_reflective.mp3,Narration,reflective,The sharp moment becomes a useful one once Alex names the real pressure behind it and Jamie responds without pretending the hurt never happened.,"Narration voice: gentle omniscient storyteller, warm and cinematic, clear diction, intimate visual-novel pacing. Emotion: reflective. Delivery: measured, intimate, observant, narration-like calm. Clean studio recording, no background music, no sound effects. Speak exactly: ""The sharp moment becomes a useful one once Alex names the real pressure behind it and Jamie responds without pretending the hurt never happened."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_022_narration_reflective.mp3,Narration,reflective,Honest repair works better than polished romance when expectation and reality have started pulling apart.,"Narration voice: gentle omniscient storyteller, warm and cinematic, clear diction, intimate visual-novel pacing. Emotion: reflective. Delivery: measured, intimate, observant, narration-like calm. Clean studio recording, no background music, no sound effects. Speak exactly: ""Honest repair works better than polished romance when expectation and reality have started pulling apart."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_023_alex_honest.mp3,Alex,honest,"Yeah, I want that. I just also want to admit something before it turns weird in my head.","Alex voice: player-character young adult voice, introspective and idealistic, emotionally porous, natural conversational pacing. Emotion: honest. Delivery: sincere, vulnerable, steady eye contact energy. Clean studio recording, no background music, no sound effects. Speak exactly: ""Yeah, I want that. I just also want to admit something before it turns weird in my head."""
1,social-media-expectations,Social Media Influence on Relationship Expectations,s01_social_media_024_jamie_open-hearted.mp3,Jamie,open-hearted,Then admit it. I'd rather hear the awkward version than the filtered one.,"Jamie voice: warm grounded young adult voice, affectionate, understated, emotionally steady. Emotion: open-hearted. Delivery: warmly open, relieved, gently hopeful. Clean studio recording, no background music, no sound effects. Speak exactly: ""Then admit it. I'd rather hear the awkward version than the filtered one."""
